VRLOG
Date	Time	U panels	U acku	I out	I in	P out	P in
2014-7-21	12:40:31	29.578588	12.417862	3.694840	6.999512	45.882008	207.035675

2014-7-21	12:41:01	29.382715	12.423773	3.402086	7.053223	42.266743	207.242828

2014-7-21	12:41:31	29.464024	12.429683	3.605125	7.038574	44.810566	207.384720

2014-7-21	12:42:01	29.423365	12.437564	3.678314	7.048340	45.749264	207.385880

2014-7-21	12:42:32	29.386412	12.447413	3.521312	7.062988	43.831230	207.555878

2014-7-21	12:43:02	29.401194	12.457264	3.395003	7.094727	42.292450	208.593430

2014-7-21	12:43:32	29.258909	12.455295	3.673591	7.109375	45.755661	208.012558

2014-7-21	12:44:02	29.373478	12.459233	3.731434	7.111816	46.490807	208.898788

2014-7-21	12:44:32	29.196081	12.455295	3.399725	7.155762	42.344582	208.920197

2014-7-21	12:45:02	29.184998	12.461204	3.587419	7.158203	44.703556	208.912140

2014-7-21	12:45:32	29.244131	12.463174	3.700742	7.150879	46.122993	209.121246

2014-7-21	12:46:02	29.242277	12.469083	3.409168	7.199707	42.509201	210.535828

2014-7-21	12:46:32	29.231192	12.469083	3.498883	7.211914	43.627869	210.812836

2014-7-21	12:47:02	29.251516	12.469083	3.491801	7.229004	43.539555	211.459320

2014-7-21	12:47:32	29.275541	12.469083	3.514229	7.204590	43.819218	210.918274

2014-7-21	12:48:02	29.070423	12.467113	3.582696	7.280273	44.665882	211.640625

2014-7-21	12:48:32	29.114780	12.467113	3.579155	7.236328	44.621731	210.684097

2014-7-21	12:49:02	29.000200	12.469083	3.585057	7.263184	44.702377	210.633774

2014-7-21	12:49:32	29.070431	12.469083	3.592140	7.233887	44.790691	210.292206

2014-7-21	12:50:02	29.024231	12.469083	3.402086	7.309570	42.420891	212.154663

2014-7-21	12:50:32	29.059340	12.469083	3.384379	7.270508	42.200104	211.276154

2014-7-21	12:51:02	29.064886	12.469083	3.260431	7.290039	40.654583	211.884155

2014-7-21	12:51:32	28.983578	12.469083	3.348965	7.324219	41.758526	212.282059

